model,seed,held_out,seconds,threshold,ap,iou,pooled_precision,pooled_recall
"Qwen: no reasoning, no axes",,Recording_1,10800,0.01,0.22978062594095008,0.10618675776767682,0.8209147923734539,0.0627968127224152
"Qwen: no reasoning, no axes",,Recording_2,4200,0.01,0.3072057685494352,0.03271968972997842,0.8098914285349554,0.03276210650224657
"Qwen: no reasoning, no axes",,Recording_3,300,0.01,0.42971412262080344,0.029956481320140133,0.834683421608336,0.030135278485580865
"Qwen: no reasoning, no axes",,Recording_4,7800,0.01,0.21597123966372883,0.058023603382853346,0.8009055531166058,0.06096835979228884
"Qwen: no reasoning, axes",,Recording_1,10800,0.01,0.33080839463984185,0.23323098046001933,0.8287371956071906,0.16583133867383346
"Qwen: no reasoning, axes",,Recording_2,4200,0.01,0.34776799534452424,0.10462907554760456,0.8048749529945349,0.104173636724471
"Qwen: no reasoning, axes",,Recording_3,300,0.01,0.4649306123828464,0.11165025814690581,0.8443067766055183,0.11399731598985763
"Qwen: no reasoning, axes",,Recording_4,7800,0.01,0.2499216779376835,0.10671874719778934,0.8225401458525997,0.11267612056006712
"Qwen: reasoning, axes",,Recording_1,10800,0.26,0.48822101438056953,0.4145136344986609,0.8501799335344739,0.3735274936255618
"Qwen: reasoning, axes",,Recording_2,4200,0.26,0.4630125813780362,0.2944565684126381,0.7963412570711467,0.3094226058444495
"Qwen: reasoning, axes",,Recording_3,300,0.26,0.6732218371136895,0.5086777686283036,0.8720325751304839,0.5497118360472873
"Qwen: reasoning, axes",,Recording_4,7800,0.26,0.3892680938392656,0.2986322486078811,0.8094533334936294,0.32607716158551686
Qwen: reasoning + one self-review,,Recording_1,10800,0.01,0.4941533647971879,0.42097277201023164,0.8521584796086932,0.3833602083121798
Qwen: reasoning + one self-review,,Recording_2,4200,0.01,0.46732661847257123,0.30356928103860265,0.7997549700344488,0.3189564184703181
Qwen: reasoning + one self-review,,Recording_3,300,0.01,0.677461211808868,0.5370405383461482,0.8545215464242575,0.5910824622277909
Qwen: reasoning + one self-review,,Recording_4,7800,0.01,0.3940019478875131,0.3024817461459821,0.8061608812167497,0.3310523464110502
Qwen: reasoning + two self-reviews,,Recording_1,10800,0.01,0.4930365387391799,0.4221509489818497,0.8532385141643641,0.3864371691249808
Qwen: reasoning + two self-reviews,,Recording_2,4200,0.21,0.4680963950180995,0.30298079204250106,0.8018095835486196,0.31829194052283327
Qwen: reasoning + two self-reviews,,Recording_3,300,0.21,0.693687169832523,0.5425633265762015,0.8700200560612033,0.5904219270192959
Qwen: reasoning + two self-reviews,,Recording_4,7800,0.26,0.39544530963194424,0.302322729901478,0.8075978942785961,0.33089640812035764
SongMAE-Large + bare linear,0,Recording_1,10800.0,0.07,0.782856397368467,0.498431394760961,0.6496569322814332,0.693888617242794
SongMAE-Large + bare linear,0,Recording_2,4200.0,0.08,0.7638853962115307,0.5008693356994263,0.729594949173259,0.5994250142058466
SongMAE-Large + bare linear,0,Recording_3,300.0,0.07,0.8884012501732844,0.697498101671464,0.805072273497879,0.8392281049294862
SongMAE-Large + bare linear,0,Recording_4,7800.0,0.07,0.7264965276796349,0.520276300243048,0.6253100731661101,0.7619099285592483
SongMAE-Large + transformer,0,Recording_1,10800.0,0.05,0.7825964556387337,0.5091795811751096,0.6431490819506278,0.6606855483598593
SongMAE-Large + transformer,0,Recording_2,4200.0,0.06,0.7481048296250687,0.4791845749129819,0.6778840422152537,0.5973467616318013
SongMAE-Large + transformer,0,Recording_3,300.0,0.06,0.8912041136689771,0.6909648302205046,0.7923479903006744,0.843753739726006
SongMAE-Large + transformer,0,Recording_4,7800.0,0.06,0.7422216724871424,0.5230107514636436,0.6514834692248153,0.7415939391266873
SongMAE-Large + bare linear,1,Recording_1,10800.0,0.06,0.7871891030250622,0.500707000733986,0.6529918915962667,0.6932178586802108
SongMAE-Large + bare linear,1,Recording_2,4200.0,0.07,0.7652998663284313,0.5014202341074186,0.7245115646721424,0.6020355785531513
SongMAE-Large + bare linear,1,Recording_3,300.0,0.06,0.8955431605249723,0.7015794878238694,0.7995177715022148,0.8513527067414274
SongMAE-Large + bare linear,1,Recording_4,7800.0,0.06,0.7341954363598926,0.5265361873371597,0.6263845535971956,0.7738662265275842
SongMAE-Large + transformer,1,Recording_1,10800.0,0.1,0.7811217504973725,0.48275162167515606,0.6450896073455591,0.6606208256622744
SongMAE-Large + transformer,1,Recording_2,4200.0,0.13,0.7518204042588149,0.47606805360096205,0.7132102858228535,0.56822185533423
SongMAE-Large + transformer,1,Recording_3,300.0,0.13,0.8914316233908814,0.679835235945486,0.825352739342311,0.7940658066794045
SongMAE-Large + transformer,1,Recording_4,7800.0,0.13,0.7241946192302782,0.514450443336712,0.6698640556177069,0.7023412749425151
SongMAE-Large + bare linear,2,Recording_1,10800.0,0.06,0.7895558284086817,0.4992612741459818,0.6448941209686759,0.7027966012414884
SongMAE-Large + bare linear,2,Recording_2,4200.0,0.07,0.7670193298358787,0.5069160277958902,0.7152836983682295,0.6174605491231815
SongMAE-Large + bare linear,2,Recording_3,300.0,0.07,0.8998442029901427,0.703234502417312,0.8209945290586238,0.8305883418972734
SongMAE-Large + bare linear,2,Recording_4,7800.0,0.07,0.7408495280691727,0.5306282091731256,0.6542860782186417,0.7446976378917471
SongMAE-Large + transformer,2,Recording_1,10800.0,0.07,0.7900774029910572,0.48609392676490226,0.6498874540248419,0.6670628683825484
SongMAE-Large + transformer,2,Recording_2,4200.0,0.08,0.7692157351642532,0.503147678653599,0.6995898794470227,0.6239516672657984
SongMAE-Large + transformer,2,Recording_3,300.0,0.08,0.9105673029272021,0.7255638004085254,0.8113476792310179,0.8728126020369106
SongMAE-Large + transformer,2,Recording_4,7800.0,0.08,0.763335624801955,0.5350580696447116,0.6657769572286224,0.7455777857776632
