Configuration,Training seed,Mask AP,2D IoU,Threshold,Selected epoch
large_s100,0,0.40409005729018777,0.22295250435070482,0.07,3
large_s100,1,0.46607053965565676,0.28001520689966714,0.1,3
large_s100,2,0.5420404865303883,0.29730708786826704,0.08,3
large_s1000,0,0.7502580616719903,0.5063162759050007,0.08,3
large_s1000,1,0.7331088647150708,0.5071159359225161,0.04,3
large_s1000,2,0.7468279506648009,0.5035903917748263,0.07,3
large_s10000,0,0.7933325953789895,0.5127616533112689,0.06,3
large_s10000,1,0.7968693441918391,0.4958655436158662,0.09,2
large_s10000,2,0.8024183592356879,0.5167266967640138,0.12,3
micro_s10000,0,0.7288749768396234,0.47432581490250975,0.05,3
micro_s10000,1,0.7116516901671558,0.44838596109084494,0.04,3
micro_s10000,2,0.7044327407494438,0.48369546427074245,0.02,3
base_s10000,0,0.8031694824772342,0.5029744864343559,0.1,2
base_s10000,1,0.779487080553147,0.4908534907189619,0.05,3
base_s10000,2,0.7941678450438392,0.49549568720482184,0.04,2
