Backbone,Seed,Epoch,Training BCE,XC validation BCE
micro,0,1,0.22291966589788595,0.2237599607879296
micro,0,2,0.17894483058515823,0.21320949946595355
micro,0,3,0.16866704206349273,0.203707965794811
micro,0,4,0.16118780128432042,0.20142646800065414
micro,0,5,0.1555112756111405,0.22622424536207691
micro,0,6,0.15263287655331872,0.20744210798465645
micro,0,7,0.147659933758956,0.20690280192247593
micro,0,8,0.14425704961247515,0.20716445586886256
micro,0,9,0.138789256865328,0.2256055924508255
micro,0,10,0.1326492066410455,0.23201684631733224
micro,0,11,0.12997776800484367,0.23217087470469996
micro,0,12,0.12627381763674997,0.22505001188763418
micro,0,13,0.12244241492766322,0.2584159512903541
micro,0,14,0.11902182707280824,0.23259119307785295
micro,0,15,0.11589933474632827,0.24769455027766527
micro,1,1,0.22559435219701493,0.23712015339834616
micro,1,2,0.1759778167487997,0.21243488849331624
micro,1,3,0.1654908751899546,0.20795524809821508
micro,1,4,0.16141794418746774,0.20023404855383561
micro,1,5,0.156337526880882,0.2157374347855337
micro,1,6,0.15338547025440316,0.21960868412512355
micro,1,7,0.1498481985746008,0.2182153236229904
micro,1,8,0.14436220428483051,0.2102605727391783
micro,1,9,0.14097778465260158,0.22903310841610655
micro,1,10,0.1392429805727619,0.23715078189745545
micro,1,11,0.1328524418288108,0.2117682645060122
micro,1,12,0.1295163370668888,0.2474088863936253
micro,1,13,0.12704595065478122,0.22334130797409452
micro,1,14,0.12608326361937958,0.23953773729945532
micro,1,15,0.12121106379411438,0.24160165358027444
micro,2,1,0.22208997404033487,0.22389464120585473
micro,2,2,0.1767013126589132,0.21721776451179758
micro,2,3,0.16702993180264125,0.20658667147550733
micro,2,4,0.15914482566894908,0.2111525031859055
micro,2,5,0.15607192920464458,0.21103707923032344
micro,2,6,0.1530062285336581,0.2096305951028131
micro,2,7,0.14903699759055267,0.21253293976569548
micro,2,8,0.14369786429134282,0.23430378006538377
micro,2,9,0.14012792113829742,0.21289950649607928
micro,2,10,0.13601399901689906,0.21950250396607443
micro,2,11,0.13190886333133234,0.22174493719125166
micro,2,12,0.1278559621423483,0.21444515733094885
micro,2,13,0.12382434364972693,0.22069408009620384
micro,2,14,0.1198715116038467,0.23315054087629541
micro,2,15,0.11768450294480179,0.24015600432502107
base,0,1,0.20537474886937576,0.21180978565132244
base,0,2,0.15934069059563405,0.1983562466655858
base,0,3,0.15450067953629928,0.19995593788297847
base,0,4,0.15082256061335406,0.19543300452707335
base,0,5,0.14426479166881603,0.1977256426522974
base,0,6,0.1412776368811275,0.19447787901996635
base,0,7,0.13683181606007344,0.19992807869319804
base,0,8,0.13277581706643105,0.20106758698318153
base,0,9,0.12745070242972084,0.20405745329493657
base,0,10,0.12411227441308173,0.20872063045739198
base,0,11,0.12035600420539126,0.21000571960215456
base,0,12,0.1182279202409766,0.20967770978333428
base,0,13,0.11381904718776543,0.21518057269831187
base,0,14,0.11242705371908167,0.22764729904634878
base,0,15,0.10797293018549681,0.2178717483713757
base,1,1,0.209578302322012,0.20672637982759626
base,1,2,0.16055921166006362,0.2063441962924786
base,1,3,0.1551286822580027,0.20168021982060746
base,1,4,0.14939584396779537,0.1999466800685972
base,1,5,0.1463278734096975,0.20451686888933182
base,1,6,0.1417510580610145,0.19696691974960268
base,1,7,0.1362234459004619,0.20592338970107957
base,1,8,0.13259162872352384,0.21296133693796582
base,1,9,0.1272767214668971,0.19612595120235346
base,1,10,0.12114964504585121,0.20926627797624095
base,1,11,0.11793879109124343,0.21688729151883163
base,1,12,0.11509122137883396,0.20788419086239301
base,1,13,0.11166712088566838,0.21664594181599095
base,1,14,0.10970310931743095,0.2247567279609386
base,1,15,0.1052616744894873,0.21533044843939134
base,2,1,0.20320257465496208,0.21036757148066534
base,2,2,0.1591493378986012,0.20546165045388043
base,2,3,0.15342256917872213,0.2137431304782629
base,2,4,0.14792702567170968,0.19638152198428288
base,2,5,0.1438399807296016,0.19466841962961481
base,2,6,0.14101657384272778,0.1950250804323703
base,2,7,0.13379079408266328,0.21028439657874406
base,2,8,0.12927493405048596,0.21184841433446855
base,2,9,0.1262286254628138,0.21025118231857196
base,2,10,0.12259323482937885,0.2276595722142607
base,2,11,0.11923505501313643,0.21582156673464925
base,2,12,0.11604393894473712,0.21667719903336838
base,2,13,0.11186589692916835,0.220898434574157
base,2,14,0.10956662351434882,0.22293129746634513
base,2,15,0.10744315442262274,0.23928285237913952
large,0,1,0.20009442260771088,0.20142986602494492
large,0,2,0.1572247203439474,0.20968678901563398
large,0,3,0.15081484226340597,0.19270663956822828
large,0,4,0.14676188965412704,0.19511272148112765
large,0,5,0.14098662016631075,0.20138615765529685
large,0,6,0.13426112942397594,0.19939668453815393
large,0,7,0.13045476972492356,0.20363372438452207
large,0,8,0.12374816039069132,0.20887651290982032
large,0,9,0.12104974833853317,0.22555392551082187
large,0,10,0.11537841143030109,0.20492975065675564
large,0,11,0.11180183297079621,0.2094055357818026
large,0,12,0.10794839116208481,0.21582199846482836
large,0,13,0.10549281292002309,0.22380541713712737
large,0,14,0.10271045850646315,0.23301906418683938
large,0,15,0.10033465159887617,0.23266527585792354
large,1,1,0.19577625354356837,0.21170745704923757
large,1,2,0.15835200363036359,0.1939583777909167
large,1,3,0.15226862980335049,0.1972368623336777
large,1,4,0.14841362687222887,0.20001941255168057
large,1,5,0.14216274243186822,0.19556052812682465
large,1,6,0.1375629764163133,0.21246378175956196
large,1,7,0.13248894397508015,0.20059045013338328
large,1,8,0.12856280306975046,0.21184736504987814
large,1,9,0.12383535239055302,0.21740124692632817
large,1,10,0.11910316460963452,0.21286774592772126
large,1,11,0.11698825939586668,0.2269884391503874
large,1,12,0.11340951087009726,0.22401789387934842
large,1,13,0.10919041079327915,0.23056637842208147
large,1,14,0.10528403537517245,0.22611862184437923
large,1,15,0.10365958596495065,0.236636579856975
large,2,1,0.19867039579107906,0.21773278208998964
large,2,2,0.15771723973254362,0.1990246636676602
large,2,3,0.15173740002016226,0.19382633424410597
large,2,4,0.14718611690808425,0.19385140628255904
large,2,5,0.1410208333735213,0.19544063883069904
large,2,6,0.13592406904155557,0.20264120720028878
large,2,7,0.12838866053657097,0.19924110366199166
large,2,8,0.12267684614793821,0.2110848551669158
large,2,9,0.11970645132841486,0.20767129673752935
large,2,10,0.11554713682694868,0.21136361733321102
large,2,11,0.11184409605056951,0.21398329956694506
large,2,12,0.10797549945048311,0.22263539737230167
large,2,13,0.10369732868716572,0.22681119977938943
large,2,14,0.10133879490648255,0.2147484667910263
large,2,15,0.09918442814413345,0.2242794473887887
