Backbone,Seed,Maximum epochs,Selected epoch,Mask AP,2D IoU,Threshold,XC validation BCE
micro,0,3,3,0.7288749768396234,0.47432581490250975,0.05,0.20370655147419311
micro,0,15,4,0.7216654945084384,0.4863149421200028,0.03,0.20142646800065414
micro,1,3,3,0.7116516901671558,0.44838596109084494,0.04,0.20795502982279285
micro,1,15,4,0.7181745050167437,0.4581545861211029,0.04,0.20023404855383561
micro,2,3,3,0.7044327407494438,0.48369546427074245,0.02,0.20658660313272847
micro,2,15,3,0.7044467241940525,0.4837063931793224,0.02,0.20658667147550733
base,0,3,2,0.8031694824772342,0.5029744864343559,0.1,0.19835599022074601
base,0,15,6,0.7722353639762259,0.48470690747142064,0.06,0.19447787901996635
base,1,3,3,0.779487080553147,0.4908534907189619,0.05,0.2016797383639496
base,1,15,9,0.7280268116458332,0.45368153473191053,0.07,0.19612595120235346
base,2,3,2,0.7941678450438392,0.49549568720482184,0.04,0.2054620147259906
base,2,15,5,0.7764224542249731,0.48939993477273597,0.05,0.19466841962961481
large,0,3,3,0.7933325953789895,0.5127616533112689,0.06,0.19270804577502423
large,0,15,3,0.7933332783279905,0.5127593407809681,0.06,0.19270663956822828
large,1,3,2,0.7968693441918391,0.4958655436158662,0.09,0.19395814298922195
large,1,15,2,0.796868471281087,0.4958681181200797,0.09,0.1939583777909167
large,2,3,3,0.8024183592356879,0.5167266967640138,0.12,0.19382493019076064
large,2,15,3,0.8024164462637723,0.5167207040330841,0.12,0.19382633424410597
